City,Last Sold For ($),Last Sold Year,Latitude (degrees),Longitude (degrees),Lot Size (sqft),Price ($),Price Sqr Ft,State,Year Built,Zipcode,airconditioning,area (sqft),basement,bathrooms,bedrooms,furnishingstatus,guestroom,hotwaterheating,mainroad,parking,prefarea,price,stories
Aurora,785000.0,2019.0,39.598423,-104.66709,6969.0,822000.0,$139/sqft,CO,2018.0,80016.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
Omaha,,,41.38095,-95.996315,23.43,1795000.0,$302/sqft,NE,1900.0,68152.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
Lubbock,,,33.45125,-101.93601,1.21,863000.0,$143/sqft,TX,2003.0,79424.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
Chicago,,,41.877438,-87.658134,4395.0,2500000.0,$385/sqft,IL,1879.0,60607.0,yes,6550.0,no,2,4,1,no,no,yes,1,yes,9310000,2
Fort Worth,,,32.711052,-97.42237,0.29,899000.0,$258/sqft,TX,1995.0,76116.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Middle River,452818.0,2018.0,39.352627,-76.41949,6970.0,485000.0,$138/sqft,MD,2018.0,21220.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Seatac,690000.0,2007.0,47.4313,-122.28502,7294.0,739000.0,$213/sqft,WA,2007.0,98188.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Raleigh,,,35.82875,-78.679886,0.56,500000.0,$144/sqft,NC,1970.0,27612.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Portland,414700.0,2006.0,45.584877,-122.74838,10000.0,675000.0,$188/sqft,OR,1949.0,97203.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Phoenix,365000.0,1995.0,33.529957,-112.080154,0.26,750000.0,$216/sqft,AZ,1994.0,85013.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.45442,-98.73083,10019.0,610000.0,$175/sqft,TX,2016.0,78253.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Saint Johns,,,30.038597,-81.665115,12.4,675000.0,$188/sqft,FL,1978.0,32259.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Grosse Pointe Woods,385000.0,1997.0,42.433384,-82.89214,0.37,650000.0,$181/sqft,MI,1929.0,48236.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Indianapolis,,,39.921074,-85.99197,0.39,374900.0,$106/sqft,IN,1996.0,46256.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Phoenix,745000.0,2015.0,33.299725,-112.0748,0.28,839900.0,$235/sqft,AZ,1999.0,85048.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Greensboro,,,36.072857,-79.825966,0.37,465000.0,$129/sqft,NC,1927.0,27403.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
New Orleans,,,29.972105,-90.21775,0.35,400000.0,$111/sqft,LA,,70123.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Cincinnati,,,39.121677,-84.48789,4835.0,339500.0,$94/sqft,OH,1895.0,45206.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Birmingham,250000.0,2017.0,33.423,-86.82143,0.39,295000.0,$87/sqft,AL,1964.0,35226.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Minneapolis,,,44.933533,-93.32611,0.29,929000.0,$270/sqft,MN,1934.0,55410.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.57845,-98.50019,0.32,399975.0,$117/sqft,TX,2004.0,78216.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Las Vegas,296000.0,1998.0,36.240513,-115.30006,0.48,529900.0,$151/sqft,NV,1994.0,89129.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Las Vegas,400000.0,2008.0,36.310783,-115.223015,0.46,675000.0,$189/sqft,NV,2004.0,89131.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Indianapolis,,,39.76761,-86.06378,7405.0,91900.0,$26/sqft,IN,1920.0,46219.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Fresno,565000.0,2001.0,36.81761,-119.83225,0.85,895000.0,$252/sqft,CA,1976.0,93711.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Milwaukee,246300.0,2017.0,43.038933,-88.01721,8276.0,499900.0,$145/sqft,WI,1993.0,53213.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Bronx,,,40.827602,-73.87733,2500.0,849000.0,$244/sqft,NY,1940.0,10472.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lubbock,,,33.512226,-101.94734,10000.0,419000.0,$121/sqft,TX,2007.0,79424.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Atlanta,337300.0,2006.0,33.673733,-84.58248,0.4,329900.0,$95/sqft,GA,2006.0,30349.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Raleigh,455000.0,2015.0,35.940918,-78.72218,0.93,489000.0,$142/sqft,NC,1996.0,27613.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Henderson,225500.0,1994.0,36.046913,-115.05636,8712.0,539000.0,$157/sqft,NV,1994.0,89014.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Tampa,338000.0,2016.0,28.16178,-82.34112,8400.0,429000.0,$122/sqft,FL,2006.0,33647.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Las Vegas,347000.0,2013.0,36.01186,-115.27956,6534.0,534999.0,$153/sqft,NV,2008.0,89178.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Tucson,875000.0,2009.0,32.30788,-111.10483,3.4,680000.0,$190/sqft,AZ,2002.0,85743.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Louisville,,,38.209713,-85.68609,0.29,365000.0,$104/sqft,KY,1966.0,40205.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Eagle River,,,61.303093,-149.52615,0.34,625000.0,$175/sqft,AK,1995.0,99577.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
El Paso,,,31.773191,-106.49609,7928.0,575000.0,$167/sqft,TX,1949.0,79902.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Chicago,,,41.9495,-87.74802,3920.0,308000.0,$91/sqft,IL,1908.0,60641.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Minneapolis,535000.0,2015.0,44.89346,-93.38756,0.47,549000.0,$154/sqft,MN,1974.0,55436.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Riverside,,,33.954166,-117.30805,0.43,699900.0,$194/sqft,CA,2018.0,92507.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
North Chesterfield,,,37.409412,-77.485794,,332950.0,$94/sqft,VA,,23237.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Portland,415000.0,2011.0,45.4667,-122.681046,0.34,649000.0,$190/sqft,OR,1954.0,97219.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Tulsa,,,36.070942,-95.89255,0.26,255000.0,$73/sqft,OK,1983.0,74133.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Middle Village,663500.0,2007.0,40.715744,-73.87335,3400.0,1099000.0,$323/sqft,NY,1920.0,11379.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.52362,-98.53405,0.31,340000.0,$98/sqft,TX,1965.0,78230.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lakewood,250804.0,1998.0,39.696663,-105.119965,7318.0,630000.0,$183/sqft,CO,1999.0,80226.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Mendota Heights,,,44.865475,-93.130646,10018.0,749000.0,$210/sqft,MN,2017.0,55120.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
El Paso,,,31.790756,-106.25208,0.25,279000.0,$80/sqft,TX,2005.0,79938.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Tarzana,480000.0,1998.0,34.136833,-118.5639,0.43,1295000.0,$380/sqft,CA,1977.0,91356.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Scottsdale,725000.0,2012.0,33.572964,-111.838776,0.28,879900.0,$247/sqft,AZ,1994.0,85259.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Modesto,333409.0,2001.0,37.702587,-121.027405,7405.0,519990.0,$151/sqft,CA,2001.0,95356.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Gilbert,276719.0,2005.0,33.26864,-111.75661,8466.0,449900.0,$128/sqft,AZ,2004.0,85297.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Riverwood,415000.0,2014.0,38.28591,-85.66683,0.69,599000.0,$167/sqft,KY,1969.0,40207.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Cleveland,149900.0,1997.0,41.37201,-81.78948,0.48,234900.0,$65/sqft,OH,1962.0,44130.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Henderson,333000.0,2009.0,36.00222,-114.94837,6098.0,449900.0,$129/sqft,NV,2005.0,89002.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Gilbert,434500.0,2013.0,33.297577,-111.7822,0.27,508000.0,$146/sqft,AZ,2000.0,85295.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Las Vegas,535000.0,2018.0,36.151043,-115.26349,0.46,775000.0,$218/sqft,NV,1985.0,89117.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Orlando,230000.0,2011.0,28.512957,-81.14465,7814.0,395000.0,$112/sqft,FL,2002.0,32828.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Fresno,462000.0,2014.0,36.87153,-119.736244,8100.0,539900.0,$159/sqft,CA,1997.0,93720.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Seattle,,,47.384296,-122.326454,1.28,1349950.0,$376/sqft,WA,1949.0,98198.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Commerce City,,,39.880444,-104.785835,5248.0,405000.0,$118/sqft,CO,2019.0,80022.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Houston,,,29.798288,-95.47127,8098.0,879900.0,$251/sqft,TX,2015.0,77055.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Glendale,260000.0,2003.0,33.51831,-112.24037,0.44,549900.0,$160/sqft,AZ,2002.0,85305.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Atlanta,400000.0,2017.0,33.846275,-84.350586,0.51,429900.0,$121/sqft,GA,1954.0,30324.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Saint Paul,300000.0,1996.0,44.941944,-93.19419,9583.0,765000.0,$213/sqft,MN,1924.0,55105.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Sandy Springs,,,33.933506,-84.374756,1.64,540000.0,$154/sqft,GA,1959.0,30328.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
El Paso,,,31.858614,-106.616974,0.49,199950.0,$58/sqft,TX,2019.0,79932.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lexington,319900.0,2017.0,37.963474,-84.46541,0.32,364900.0,$104/sqft,KY,1995.0,40515.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Las Vegas,,,36.21554,-115.34486,,804880.0,$231/sqft,NV,,89138.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Houston,,,29.66535,-95.5007,9840.0,349000.0,$103/sqft,TX,1976.0,77096.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Philadelphia,770000.0,2012.0,39.954082,-75.14394,653.0,995000.0,$284/sqft,PA,1850.0,19106.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.537811,-98.61802,1.2,785000.0,$222/sqft,TX,1997.0,78240.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Nashville,330000.0,2013.0,36.117405,-86.891,1.28,750000.0,$211/sqft,TN,1961.0,37205.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Charlotte,,,35.20609,-80.60603,0.76,382400.0,$111/sqft,NC,2014.0,28227.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Portland,,,45.507942,-122.69941,6825.0,1195000.0,$336/sqft,OR,1929.0,97201.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Spokane,360000.0,2018.0,47.80207,-117.396164,0.31,408000.0,$117/sqft,WA,1996.0,99208.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Reno,570000.0,2003.0,39.403698,-119.78709,2.5,1099000.0,$318/sqft,NV,2001.0,89511.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Bakersfield,435000.0,2013.0,35.343597,-119.091805,0.32,565000.0,$163/sqft,CA,1982.0,93309.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.531317,-98.54067,0.4,385000.0,$109/sqft,TX,1973.0,78230.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
North Royalton,,,41.326702,-81.74853,2.68,85000.0,$24/sqft,OH,1951.0,44133.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Keller,,,32.91387,-97.29057,7091.0,425000.0,$120/sqft,TX,2014.0,76244.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lincoln,235000.0,2014.0,40.877884,-96.70335,8276.0,309900.0,$87/sqft,NE,2014.0,68521.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Commerce City,180000.0,2007.0,39.88074,-104.82222,4792.0,359000.0,$105/sqft,CO,2003.0,80022.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Colorado Springs,425000.0,2014.0,39.08149,-104.77317,2.52,589000.0,$168/sqft,CO,2013.0,80921.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Chicago,171000.0,1996.0,42.00353,-87.81074,4375.0,639000.0,$178/sqft,IL,1928.0,60631.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Chicago,1167000.0,2015.0,41.915447,-87.643234,,1269000.0,$373/sqft,IL,2014.0,60614.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Austin,,,30.328878,-98.03642,8655.0,587900.0,$172/sqft,TX,2017.0,78738.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Studio City,710000.0,2003.0,34.1388,-118.37637,7925.0,2145000.0,$616/sqft,CA,1964.0,91604.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Colorado Springs,385000.0,2019.0,38.721405,-104.65894,7180.0,397200.0,$112/sqft,CO,2018.0,80925.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Philadelphia,50000.0,2019.0,39.925777,-75.149796,1800.0,699000.0,$194/sqft,PA,1915.0,19148.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Sachse,,,32.964306,-96.556984,1.0,632900.0,$183/sqft,TX,2017.0,75048.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Thornton,220500.0,1999.0,39.939396,-104.97854,6098.0,499900.0,$140/sqft,CO,1999.0,80241.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Spokane,,,47.64287,-117.33696,8201.0,418999.0,$123/sqft,WA,2015.0,99212.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Fresno,360000.0,2018.0,36.83251,-119.902824,0.29,528900.0,$155/sqft,CA,2006.0,93722.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Jacksonville,273500.0,2005.0,30.460258,-81.6084,0.31,236564.0,$68/sqft,FL,2005.0,32218.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Scottsdale,920000.0,2015.0,33.492477,-111.94978,0.31,1499999.0,$423/sqft,AZ,1964.0,85251.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Norfolk,455000.0,2015.0,36.897926,-76.3024,9100.0,524900.0,$152/sqft,VA,1920.0,23508.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Greensboro,470000.0,2006.0,36.07488,-79.81831,0.25,639000.0,$180/sqft,NC,1933.0,27403.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Modesto,367000.0,2014.0,37.678856,-120.946175,6452.0,465000.0,$130/sqft,CA,2007.0,95355.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Fresno,440000.0,2017.0,36.841343,-119.89567,7500.0,489999.0,$142/sqft,CA,2004.0,93722.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
North Richland Hills,,,32.899433,-97.18624,,615900.0,$171/sqft,TX,,76182.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Wichita,,,37.719276,-97.21998,0.26,359900.0,$105/sqft,KS,2002.0,67206.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Roanoke,,,33.0075,-97.26087,,451900.0,$129/sqft,TX,,76262.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Blaine,634263.0,2005.0,45.184513,-93.19141,0.35,599900.0,$175/sqft,MN,2005.0,55449.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Anthem,471674.0,2005.0,33.870754,-112.13696,9621.0,449900.0,$128/sqft,AZ,2005.0,85086.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Spokane,546000.0,2007.0,47.781204,-117.39278,0.28,650000.0,$191/sqft,WA,2006.0,99208.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Albuquerque,,,35.09622,-106.49163,0.29,550000.0,$160/sqft,NM,1990.0,87112.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Louisville,370000.0,2016.0,38.295143,-85.63197,0.5,405000.0,$113/sqft,KY,1956.0,40222.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Raleigh,380000.0,2014.0,35.928722,-78.565636,0.31,439900.0,$129/sqft,NC,2005.0,27614.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Miami,412000.0,2011.0,25.670935,-80.33538,0.44,849000.0,$246/sqft,FL,1949.0,33176.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Louisville,260000.0,2018.0,38.149166,-85.637115,0.47,345000.0,$99/sqft,KY,2001.0,40228.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Nichols Hills,,,35.554916,-97.55532,0.35,600000.0,$169/sqft,OK,1950.0,73120.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Buffalo,61000.0,2000.0,42.90274,-78.88359,2838.0,325000.0,$95/sqft,NY,1930.0,14201.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.690771,-98.469955,0.26,289000.0,$84/sqft,TX,2007.0,78260.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Saint Paul,538339.0,2016.0,45.087437,-93.06326,6534.0,595000.0,$173/sqft,MN,1998.0,55127.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
North Las Vegas,324492.0,2013.0,36.271767,-115.18767,6970.0,424990.0,$125/sqft,NV,2013.0,89031.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Shoreline,304500.0,2000.0,47.757435,-122.32502,0.31,765000.0,$219/sqft,WA,1928.0,98155.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Indian Hills,,,38.290154,-85.67146,0.87,749000.0,$216/sqft,KY,1955.0,40207.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Commerce City,,,39.876484,-104.785706,5248.0,429990.0,$121/sqft,CO,2019.0,80022.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Commerce City,433940.0,2018.0,39.868793,-104.7875,6708.0,474900.0,$137/sqft,CO,2018.0,80022.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lubbock,,,33.5107,-101.91499,7769.0,475000.0,$139/sqft,TX,2001.0,79424.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Omaha,265000.0,2015.0,41.3368,-95.98474,0.7,369000.0,$103/sqft,NE,1974.0,68152.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Colorado Springs,365000.0,2004.0,38.859413,-104.73714,3.03,764900.0,$215/sqft,CO,1992.0,80915.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Winston Salem,,,35.995102,-80.288414,,250900.0,$71/sqft,NC,,27127.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Austin,,,30.1509,-97.9764,,501990.0,$140/sqft,TX,,78737.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Irving,,,32.903343,-96.94657,6384.0,513000.0,$145/sqft,TX,2009.0,75039.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Colorado Springs,,,38.950863,-104.70869,8050.0,418950.0,$118/sqft,CO,,80924.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lexington,250000.0,2018.0,37.992245,-84.55558,0.57,399000.0,$116/sqft,KY,1967.0,40503.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Spokane,43163.0,2017.0,47.773792,-117.39416,2.89,419000.0,$118/sqft,WA,1968.0,99208.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Denver,785000.0,2010.0,39.679016,-105.04611,0.36,1195000.0,$351/sqft,CO,1956.0,80219.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Lubbock,,,33.49575,-101.91109,8580.0,365000.0,$104/sqft,TX,2004.0,79424.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Corpus Christi,,,27.64945,-97.30885,0.88,539900.0,$153/sqft,TX,2013.0,78418.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Plano,,,33.087112,-96.77755,7840.0,465000.0,$132/sqft,TX,1995.0,75024.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
River Ridge,,,29.953653,-90.206,9600.0,499900.0,$143/sqft,LA,1964.0,70123.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Portland,833000.0,2011.0,45.419373,-122.653786,0.4,1195000.0,$341/sqft,OR,1994.0,97267.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.651798,-98.48289,0.56,529000.0,$150/sqft,TX,2000.0,78258.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Los Angeles,540000.0,1995.0,34.068684,-118.487495,9760.0,2795000.0,$818/sqft,CA,1953.0,90049.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Spokane,298000.0,2014.0,47.651962,-117.446724,0.28,574000.0,$160/sqft,WA,1898.0,99201.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Anchorage,,,61.102505,-149.87148,0.25,550000.0,$154/sqft,AK,1970.0,99515.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Fort Wayne,,,41.20479,-85.12998,0.36,319900.0,$90/sqft,IN,1998.0,46845.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Scottsdale,72500.0,1994.0,33.599575,-111.78603,0.29,898000.0,$255/sqft,AZ,1996.0,85259.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Jurupa Valley,,,33.995907,-117.5341,,659393.0,$194/sqft,CA,,91752.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Portland,680000.0,2016.0,45.44043,-122.77831,7841.0,749900.0,$219/sqft,OR,2015.0,97223.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
San Antonio,,,29.683079,-98.41772,9235.0,414900.0,$117/sqft,TX,2012.0,78261.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Tulsa,,,36.05081,-95.923874,0.41,349500.0,$100/sqft,OK,1981.0,74136.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
Happy Valley,578900.0,2015.0,45.431843,-122.50436,6969.0,719000.0,$209/sqft,OR,2015.0,97086.0,no,3500.0,no,2,4,2,no,yes,yes,2,no,9240000,2
